;Mkt-RF;SMB;HML;RMW;CMA;RF
20101231;0.15;0.14;0.12;-0.10;0.05;0.00
20110103;0.69;-0.14;0.53;-0.50;0.17;0.00
20110104;0.05;-0.39;0.37;0.03;0.09;0.00
20110105;-0.30;0.10;0.14;-0.22;0.13;0.00
20110106;-0.24;-0.04;-0.02;-0.01;0.09;0.00
20110107;-0.30;0.04;-0.20;0.07;-0.04;0.00
20110110;-0.22;0.43;-0.21;-0.05;-0.04;0.00
20110111;0.63;-0.01;0.23;-0.12;0.13;0.00
20110112;1.34;-0.34;0.31;-0.50;0.20;0.00
20110113;0.43;0.09;0.18;0.19;0.12;0.00
20110114;0.27;-0.10;0.41;-0.37;0.20;0.00
20110117;-0.19;0.18;0.02;0.01;0.02;0.00
20110118;0.73;-0.24;-0.04;0.07;-0.05;0.00
20110119;-0.56;0.10;-0.05;0.57;-0.23;0.00
20110120;-0.99;-0.54;0.62;0.10;0.23;0.00
20110121;0.41;-0.66;0.48;-0.05;0.32;0.00
20110124;0.57;-0.14;-0.12;0.07;0.23;0.00
20110125;0.04;0.13;0.05;0.17;0.19;0.00
20110126;0.68;0.36;-0.23;-0.14;-0.10;0.00
20110127;0.13;-0.25;0.35;-0.22;0.25;0.00
20110128;-1.37;0.27;0.09;0.03;-0.21;0.00
20110131;0.35;-0.20;-0.12;0.07;-0.06;0.00
20110201;1.87;0.11;0.22;-0.19;-0.01;0.00
20110202;0.13;0.07;-0.11;-0.16;-0.12;0.00
20110203;-0.21;0.04;-0.23;-0.06;-0.02;0.00
20110204;0.15;0.01;-0.13;-0.09;0.14;0.00
20110207;0.56;0.21;0.26;-0.07;0.26;0.00
20110208;0.36;-0.12;0.11;-0.13;0.07;0.00
20110209;-0.09;-0.06;-0.06;0.22;-0.01;0.00
20110210;-0.48;-0.14;-0.08;-0.01;0.07;0.00
20110211;0.24;0.02;0.13;-0.24;0.11;0.00
20110214;0.40;0.22;-0.02;0.02;-0.05;0.00
20110215;-0.21;-0.13;0.10;-0.06;-0.01;0.00
20110216;0.83;-0.15;0.32;-0.33;0.20;0.00
20110217;0.47;0.04;0.14;-0.12;0.07;0.00
20110218;0.30;0.11;-0.01;0.08;0.02;0.00
20110221;-0.48;0.12;-0.17;0.21;-0.13;0.00
20110222;-1.58;-0.19;-0.09;0.54;-0.19;0.00
20110223;-0.56;-0.16;0.05;0.07;-0.26;0.00
20110224;-0.16;-0.16;-0.20;0.12;-0.15;0.00
20110225;1.18;0.25;0.08;-0.47;0.23;0.00
20110228;0.75;0.00;0.15;-0.04;-0.04;0.00
20110301;-0.74;0.49;-0.11;0.23;-0.38;0.00
20110302;-0.14;0.02;-0.29;0.09;0.02;0.00
20110303;1.09;-0.13;-0.03;-0.10;0.22;0.00
20110304;-0.20;0.52;-0.35;0.13;-0.23;0.00
20110307;-0.82;0.04;0.01;0.34;-0.11;0.00
20110308;0.30;-0.22;0.25;-0.18;0.41;0.00
20110309;-0.07;-0.10;0.26;0.23;0.02;0.00
20110310;-1.92;-0.27;-0.10;0.54;-0.17;0.00
20110311;0.21;-0.20;0.00;-0.06;-0.04;0.00
20110314;-1.29;-1.08;-0.28;-0.01;-0.21;0.00
20110315;-2.46;-1.16;-0.55;0.27;0.04;0.00
20110316;-0.61;1.58;0.02;0.11;-0.14;0.00
20110317;1.42;-0.33;0.41;-0.04;0.00;0.00
20110318;0.88;1.02;0.00;-0.03;0.18;0.00
20110321;1.54;0.03;-0.09;-0.24;0.12;0.00
20110322;0.22;0.69;0.26;0.09;-0.17;0.00
20110323;0.06;0.01;-0.23;-0.01;-0.20;0.00
20110324;0.87;-0.23;-0.03;-0.02;0.23;0.00
20110325;0.09;0.12;-0.15;0.08;0.03;0.00
20110328;-0.18;0.06;-0.02;0.09;0.06;0.00
20110329;0.39;-0.05;-0.26;0.15;0.13;0.00
20110330;0.97;0.11;-0.04;-0.02;0.15;0.00
20110331;-0.19;0.45;-0.22;0.02;-0.14;0.00
20110401;0.72;-0.56;0.05;0.02;0.15;0.00
20110404;0.15;0.12;-0.17;0.10;-0.11;0.00
20110405;-0.11;-0.12;-0.35;-0.06;-0.07;0.00
20110406;0.36;-0.28;0.26;-0.26;0.20;0.00
20110407;-0.19;-0.05;-0.02;0.02;-0.13;0.00
20110408;0.58;0.00;-0.04;-0.02;-0.21;0.00
20110411;-0.42;-0.08;-0.07;0.37;-0.11;0.00
20110412;-1.04;-0.12;0.05;0.33;-0.08;0.00
20110413;0.34;0.07;-0.41;-0.02;0.02;0.00
20110414;0.02;0.67;-0.15;0.10;-0.10;0.00
20110415;0.16;0.11;-0.13;0.17;0.10;0.00
20110418;-1.54;0.30;-0.36;0.43;-0.24;0.00
20110419;0.49;-0.37;-0.03;0.06;0.11;0.00
20110420;1.96;-0.18;-0.48;-0.07;0.08;0.00
20110421;0.72;0.03;-0.21;-0.10;0.02;0.00
20110422;0.00;0.03;0.02;-0.03;0.14;0.00
20110425;-0.09;0.02;0.01;0.06;-0.09;0.00
20110426;0.67;-0.22;0.13;0.03;0.35;0.00
20110427;0.69;-0.24;-0.03;0.04;-0.10;0.00
20110428;0.60;0.03;0.16;0.12;-0.05;0.00
20110429;0.34;0.05;0.00;0.03;0.01;0.00
20110502;0.01;-0.37;0.10;0.34;0.05;0.00
20110503;-0.55;-0.34;0.28;0.33;0.15;0.00
20110504;-0.85;0.04;-0.08;0.29;-0.14;0.00
20110505;-1.14;0.30;-0.09;0.20;0.17;0.00
20110506;0.08;-0.15;-0.12;0.00;-0.15;0.00
20110509;0.31;0.46;-0.29;-0.01;-0.15;0.00
20110510;0.70;0.02;0.17;-0.04;0.23;0.00
20110511;-0.94;-0.11;-0.21;0.38;-0.18;0.00
